District,Lat,Lon
Gondia,21.15980925557098,80.2120585807697
Bhandara,21.122869474131974,79.75872340472307
Jalgaon,20.934174864285154,75.48689009171883
Wardha,20.797729454714677,78.58562182023307
Buldhana,20.512191830101237,76.40746543599049
Akola,20.748358551053467,77.05457894898974
Nashik,20.2604080299114,74.07147475337528
Gadchiroli,19.791410497275557,80.24043807436217
Washim,20.234428320688572,77.21629924072832
Chandrapur,20.119329968429497,79.44020066089436
Yavatmal,20.083833304353284,78.16089866338214
Jalna,19.80920918565925,75.98032282182466
Ahmednagar,19.205908285028762,74.67477221455728
Hingoli,19.621088820199013,77.1008415998601
Nanded,19.11236688105971,77.61753707373296
Parbhani,19.27211087782733,76.67778877305179
Pune,18.571838873357045,74.06813732590031
Beed,18.94659696194113,75.83755477908281
Mumbai City,18.962134909627803,72.85113557150159
Latur,18.37428398938251,76.75943806072216
Osmanabad,18.18887808376396,76.03710556442147
Solapur,17.791042006773246,75.48348454369409
Satara,17.6700527670288,74.1724542815483
Ratnagiri,17.27459310897529,73.4550000274179
Sangli,17.11338846397268,74.76815374987889
Kolhapur,16.470803776667047,74.15791302991305
Sindhudurg,16.13289700619542,73.73813151169279
Thane,19.361529629517722,73.3220738244294
Palghar,19.79430848436758,73.01925695783765
Nandurbar,21.55065917482404,74.21685520582567
Amravati,21.18802067913753,77.57099541409985
Dhule,21.11099534607948,74.60029781569011
Nagpur,21.178842071362016,79.08493692653413
Aurangabad,20.02950041451226,75.28112380892144
Raigad,18.52244510891409,73.21723227010132
Mumbai Suburban,19.13202191613452,72.88426407741738
